NOME,ENDERECO,QUARTOS,VAGAS,CONDOMINIO,AREA,VALOR
LC - Apartamento em Ponta Negra!,Ponta Negra,2,1,0,58,R$ 1.500
"Alugo apartamento no Alecrim, sua casa no centro da cidade",Alecrim,2,0,0,50,R$ 650
LCAP2201 - Ótimo apartamento em Tirol!,Barro Vermelho,2,2,0,200,R$ 3.600
Kitnet UFRN cidade jardim capim macio,Capim Macio,1,0,0,0,R$ 800
Kitinet excelente localização Ponta Negra,Ponta Negra,1,0,0,14,R$ 2.500
Apartamento top Ponta Negra,Ponta Negra,1,1,0,0,R$ 3.500
Loft de Altissimo Padrão em Ponta Negra. ,Ponta Negra,1,1,0,0,R$ 3.500
"Kitnet em Capim Macio, do lado do Shopp Cidade jardim",Capim Macio,1,1,0,30,R$ 650
"Aluga-se apartamentos no Condominio Maria Luiza, apto de",Nossa Senhora de Nazaré,2,1,595,61,R$ 1.700
Aluguel de apartamento com todas as taxas inclusas ,Nossa Senhora da Apresentação,2,1,0,43,R$ 1.100
Condomínio residencial Vitória,Lagoa Nova,2,1,0,76,R$ 1.150
Alugo Apartamento nas proximidades do supermercado favorito da Ayrton Senna.,Neópolis,2,1,0,0,R$ 680
Apartamento - Condomínio Parque das Princesas - Capim Macio,Capim Macio,2,0,0,0,R$ 700
"Disponível a partir do dia 30 janeiro, Estrela do Atlantico",Ponta Negra,2,1,0,57,R$ 2.500
Apto em Cidade Satélite - Térreo - 2/4 - R$ 700 reais - Incluso taxas,Pitimbu,2,1,0,49,R$ 700
Ultima unidade no Res. Porto Fino - Pitimbu para alugar,Pitimbu,2,1,0,0,R$ 680
Aluga-se apartamento em Ponta Negra,Ponta Negra,2,1,0,0,R$ 1.800
Apartamento mobiliado para alugar em Ponta Negra,Ponta Negra,2,1,0,57,R$ 2.300
Apartamento em Neopolis para locação,Neópolis,2,1,0,0,R$ 900
"Locação no Sun Goldem 2/4 sendo 1 suíte R$ 1.350,00",Ponta Negra,2,1,0,56,R$ 1.350
"Alugo apartamento em Capim Macio - Maria Bernadete Três quartos, sendo uma suíte",Capim Macio,3,2,0,78,R$ 2.500
Alugo Apartamento 1/4 Garagem Ponta Negra ,Ponta Negra,1,1,0,0,R$ 520
Aluguel temporada de apartamento com 2 quartos no Blue Ocean em Ponta Negra/ Natal-RN,Ponta Negra,2,1,0,55,R$ 300
"Cond. Quatro Estações, Candelária - Apto mobiliado 2/4 sendo 1 suíte com 56m², para alugar",Candelária,2,1,0,56,R$ 2.100
Apartamento 2/4 próximo ao IFRN e Midway. ,Lagoa Nova,2,2,0,77,R$ 1.500
Aluga-se Apartamento / Kitnet em Ponta Negra Mobiliado,Ponta Negra,1,0,0,0,R$ 800
Flat em Ponta negra 150 reais a diária top de luxo,Ponta Negra,1,1,0,50,R$ 150
"Apartamento para alugar com 3 dormitórios em Neópolis, Natal cod:EI23064",Neópolis,3,1,150,85,R$ 820
Apartamento 2/4 no Residencial Ahead Ponta Negra,Ponta Negra,2,1,0,55,R$ 2.000
"Apartamento para alugar com 1 dormitórios em Tirol, Natal cod:EI11395",Tirol,1,0,0,33,R$ 450
Acquarelle- Ponta Negra,Ponta Negra,3,2,0,92,R$ 3.500
"Apartamento para alugar com 1 dormitórios em Lagoa nova, Natal cod:4697",Dix-Sept Rosado,1,1,160,40,R$ 650
Apartamento 2/4 Ponta Negra,Ponta Negra,2,1,0,46,R$ 1.500
"Apartamento para alugar com 2 dormitórios em Ponta negra, Natal cod:11294",Ponta Negra,2,1,190,45,R$ 700
Alugo apartamento 2/4 no Residencial Porto Palladio em Ponta Negra,Ponta Negra,2,1,225,58,R$ 1.100
"Apartamento para alugar com 2 dormitórios em Lagoa nova, Natal cod:821176",Dix-Sept Rosado,2,1,440,61,R$ 1.007
"Apartamento para alugar com 2 dormitórios em Tirol, Natal cod:EI22453",Tirol,2,1,200,60,R$ 800
"Apartamento com 3 dormitórios para alugar, 87 m² por R 2.500,00/mês - Capim Macio - Natal/",Capim Macio,3,1,0,87,R$ 2.500
"Flat para Locação em Natal, Ponta Negra, 1 dormitório, 1 suíte, 1 banheiro, 1 vaga",Ponta Negra,1,1,0,30,R$ 800
"Apartamento para alugar com 1 dormitórios em Tirol, Natal cod:EI22227",Tirol,1,1,250,50,R$ 550
"Kitnets para alugar em Mirassol, próximo a UFRN",Capim Macio,1,0,0,0,R$ 600
"Apartamento para Locação em Natal, Petrópolis, 2 dormitórios, 1 suíte, 1 vaga",Rocas,2,1,0,60,R$ 1.600
Apartamento mob. 2 quartos,Ponta Negra,2,1,0,34,R$ 3.000
"Apartamento com 2 dormitórios para alugar, 56 m² por R$ 1.600,00/mês - Lagoa Nova - Natal/",Lagoa Nova,2,1,0,56,R$ 1.600
"Apartamento com 2 dormitórios para alugar, 78 m² por R$ 1.300,00/mês - Lagoa Nova - Natal/",Lagoa Nova,2,2,500,78,R$ 1.300
"Apto em Capim Macio c/ 68 m², 3 dorms c/ suíte, 2 vagas de garagem",Capim Macio,3,2,0,68,R$ 1.900
"Apartamento para alugar com 2 dormitórios em Nova descoberta, Natal cod:EI18163",Nova Descoberta,2,1,350,80,R$ 750
Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Olimpo,Capim Macio,3,0,0,60,R$ 1.500
Aluguel - Apartamento em Capim Macio - 3/4 Suíte - Res. Mandacarú,Capim Macio,3,0,0,60,R$ 1.500
Flats mobiliados alto padrão completos,Cidade Alta,1,0,0,20,
More no melhor de Ponta Negra / Riviera Ponta Negra,Ponta Negra,2,1,0,55,R$ 3.500
"Condomínio Araguaia, Lagoa Nova, 2/4 - aluguel",Lagoa Nova,2,1,370,76,R$ 1.200
Green Hill - Locação em Tirol,Tirol,2,1,0,57,R$ 1.800
Condomínio Walfredo Gurgel!,Barro Vermelho,2,2,0,70,R$ 1.600
Aluguel de um apartamento com ótima localização ,Candelária,2,1,250,75,R$ 1.100
"Apartamento em Neópolis, Condomínio Serrambi II",Ponta Negra,2,1,0,55,R$ 750
Flat Mobiliado no Ocean View em Petrópolis com 50m2 com 1 quarto,Petrópolis,1,0,0,50,R$ 1.800
"Alugo kitnet em Felipe Camarão 1/4 sala coz, ban 360,00 não paga água",Felipe Camarão,1,0,0,0,R$ 360
Alugo Kitnet Próximo ao Shopping Midway,Lagoa Nova,1,0,0,0,
Alugo Kitnet na Avenida Rio Branco,Cidade Alta,1,0,0,0,
"Alugo apto no Residence R$ 1.200,00",Lagoa Nova,1,0,0,0,R$ 1.200
Lindo apartamento em ponta negra reformado ,Ponta Negra,2,1,0,0,R$ 200.000
Villa Park Condominio Clube. 2/4 sendo um suite,Ponta Negra,2,1,0,54,R$ 1.250
Apartamento com um quarto nas Quintas,Quintas,1,0,0,0,R$ 580
Apartamento em Lagoa Nova ,Lagoa Nova,1,1,1,0,R$ 1.100
Alugo apartamento 3/4 no Residencial Tereza Campos em Lagoa Nova,Lagoa Nova,3,3,1,156,R$ 3.200
Portal do Alto Petropólis,Petrópolis,3,2,1,188,R$ 3.800
"Apto c/ 3qts, sdo 1ste, Cond. Sun Rise. ",Ponta Negra,3,2,0,0,R$ 1.700
ALUGO APARTAMENTO NAS ROCAS,Rocas,2,0,0,0,R$ 600.000
Aluguel,Alecrim,3,1,0,0,R$ 1.500
Excelente apto em Cidade Satelite - Sun Gardens,Pitimbu,2,2,0,0,R$ 1.350
"Apartamento para alugar com 1 dormitórios em Alecrim, Natal cod:3514",Alecrim,1,0,70,30,R$ 480
Apartamento Ponta Negra 2/4 alugar,Ponta Negra,2,1,0,54,R$ 2.000
PETRÓPOLIS FRENTE PARA O MAR 3/4,Petrópolis,3,2,0,160,R$ 4.500
Alugo apartamento (Porto Palladio),Neópolis,2,1,0,56,R$ 1.100
"Apartamento de 1\4 em um luxuoso condomínio em Petrópolis, imaginou acordar com essa vista",Petrópolis,1,1,0,46,R$ 1.750
"Alugo apto 1 quarto, próximo ao Maxx da Prudente",Lagoa Nova,1,1,0,50,R$ 900
"Apartamanto mobiliado em Areia Preta por R$ 4.500,00",Areia Preta,3,2,0,148,R$ 4.500
"Kitinet Mobiliado em Ponta Negra (internet, tv a cabo, iptu e condomínio)",Ponta Negra,1,1,0,20,R$ 700
